@relation Confirmados-Muertos-Brazil

@attribute Fechas date "MM/dd/yy"
@attribute Confirmados numeric
@attribute Muertos numeric

@data
1/22/20,0,0
1/23/20,0,0
1/24/20,0,0
1/25/20,0,0
1/26/20,0,0
1/27/20,0,0
1/28/20,0,0
1/29/20,0,0
1/30/20,0,0
1/31/20,0,0
2/1/20,0,0
2/2/20,0,0
2/3/20,0,0
2/4/20,0,0
2/5/20,0,0
2/6/20,0,0
2/7/20,0,0
2/8/20,0,0
2/9/20,0,0
2/10/20,0,0
2/11/20,0,0
2/12/20,0,0
2/13/20,0,0
2/14/20,0,0
2/15/20,0,0
2/16/20,0,0
2/17/20,0,0
2/18/20,0,0
2/19/20,0,0
2/20/20,0,0
2/21/20,0,0
2/22/20,0,0
2/23/20,0,0
2/24/20,0,0
2/25/20,0,0
2/26/20,1,0
2/27/20,1,0
2/28/20,1,0
2/29/20,2,0
3/1/20,2,0
3/2/20,2,0
3/3/20,2,0
3/4/20,4,0
3/5/20,4,0
3/6/20,13,0
3/7/20,13,0
3/8/20,20,0
3/9/20,25,0
3/10/20,31,0
3/11/20,38,0
3/12/20,52,0
3/13/20,151,0
3/14/20,151,0
3/15/20,162,0
3/16/20,200,0
3/17/20,321,1
3/18/20,372,3
3/19/20,621,6
3/20/20,793,11
3/21/20,1021,15
3/22/20,1546,25
3/23/20,1924,34
3/24/20,2247,46
3/25/20,2554,59
3/26/20,2985,77
3/27/20,3417,92
3/28/20,3904,111
3/29/20,4256,136
3/30/20,4579,159
3/31/20,5717,201
4/1/20,6836,240
4/2/20,8044,324
4/3/20,9056,359
4/4/20,10360,445
4/5/20,11130,486
4/6/20,12161,564
4/7/20,14034,686
4/8/20,16170,819
4/9/20,18092,950
4/10/20,19638,1057
4/11/20,20727,1124
4/12/20,22192,1223
4/13/20,23430,1328
4/14/20,25262,1532
4/15/20,28320,1736
4/16/20,30425,1924
4/17/20,33682,2141
4/18/20,36658,2354
4/19/20,38654,2462
4/20/20,40743,2587
4/21/20,43079,2741
4/22/20,45757,2906
4/23/20,50036,3331
4/24/20,54043,3704
4/25/20,59324,4057
4/26/20,63100,4286
4/27/20,67446,4603
4/28/20,73235,5083
4/29/20,79685,5513
4/30/20,87187,6006
5/1/20,92202,6412
5/2/20,97100,6761
5/3/20,101826,7051
5/4/20,108620,7367
5/5/20,115455,7938
5/6/20,126611,8588
5/7/20,135773,9190
5/8/20,146894,10017
5/9/20,156061,10656
5/10/20,162699,11123
5/11/20,169594,11653
5/12/20,178214,12461
5/13/20,190137,13240
5/14/20,203165,13999
5/15/20,220291,14962
5/16/20,233511,15662
5/17/20,241080,16118
5/18/20,255368,16853
5/19/20,271885,17983
5/20/20,291579,18859
5/21/20,310087,20047
5/22/20,330890,21048
5/23/20,347398,22013
5/24/20,363211,22666
5/25/20,374898,23473
5/26/20,391222,24512
5/27/20,411821,25598
5/28/20,438238,26754
5/29/20,465166,27878
5/30/20,498440,28834
5/31/20,514849,29314
6/1/20,526447,29937
6/2/20,555383,31199
6/3/20,584016,32548
6/4/20,614941,34021
6/5/20,645771,35026
6/6/20,672846,35930
6/7/20,691758,36455
6/8/20,707412,37134
6/9/20,739503,38406
6/10/20,772416,39680
6/11/20,802828,40919
6/12/20,828810,41828
6/13/20,850514,42720
6/14/20,867624,43332
6/15/20,888271,43959
6/16/20,923189,45241
6/17/20,955377,46510
6/18/20,978142,47748
6/19/20,1032913,48954
6/20/20,1067579,49976
6/21/20,1083341,50591
6/22/20,1106470,51271
6/23/20,1145906,52645
6/24/20,1188631,53830
6/25/20,1228114,54971
6/26/20,1274974,55961
6/27/20,1313667,57070
6/28/20,1344143,57622
6/29/20,1368195,58314
6/30/20,1402041,59594
7/1/20,1448753,60632
7/2/20,1496858,61884
7/3/20,1539081,63174
7/4/20,1577004,64265
7/5/20,1603055,64867
7/6/20,1623284,65487
7/7/20,1668589,66741
7/8/20,1713160,67964
7/9/20,1755779,69184
7/10/20,1800827,70398
7/11/20,1839850,71469
7/12/20,1864681,72100
7/13/20,1884967,72833
7/14/20,1926824,74133
7/15/20,1966748,75366
7/16/20,2012151,76688
7/17/20,2046328,77851
7/18/20,2074860,78772
7/19/20,2098389,79488
7/20/20,2118646,80120
7/21/20,2159654,81487
7/22/20,2227514,82771
7/23/20,2287475,84082
7/24/20,2343366,85238
7/25/20,2394513,86449
7/26/20,2419091,87004
7/27/20,2442375,87618
7/28/20,2483191,88539
7/29/20,2552265,90134
7/30/20,2610102,91263
7/31/20,2662485,92475
8/1/20,2707877,93563
8/2/20,2733677,94104
8/3/20,2750318,94665
8/4/20,2801921,95819
8/5/20,2859073,97256
8/6/20,2912212,98493
8/7/20,2962442,99572
8/8/20,3012412,100477
8/9/20,3035422,101049
8/10/20,3057470,101752
8/11/20,3109630,103026
8/12/20,3164785,104201
8/13/20,3224876,105463
8/14/20,3275520,106523
8/15/20,3317096,107232
8/16/20,3340197,107852
8/17/20,3359570,108536
8/18/20,3407354,109888
8/19/20,3456652,111100
8/20/20,3501975,112304
8/21/20,3532330,113358
8/22/20,3582362,114250
8/23/20,3605783,114744
8/24/20,3622861,115309
8/25/20,3669995,116580
8/26/20,3717156,117665
8/27/20,3761391,118649
8/28/20,3804803,119504
8/29/20,3846153,120262
8/30/20,3862311,120828
8/31/20,3908272,121381
9/1/20,3950931,122596
9/2/20,3997865,123780
9/3/20,4041638,124614
9/4/20,4091801,125502
9/5/20,4123000,126203
9/6/20,4137521,126650
9/7/20,4147794,126960
9/8/20,4162073,127464
9/9/20,4197889,128539
9/10/20,4238446,129522
9/11/20,4282164,130396
9/12/20,4315687,131210
9/13/20,4330455,131625
9/14/20,4345610,132006
9/15/20,4382263,133119
9/16/20,4419083,134106
9/17/20,4455386,134935
9/18/20,4495183,135793
9/19/20,4528240,136532
9/20/20,4544629,136895

