Datos reales Brasil
-----------------------
Fecha,Confirmados,Muertos
9/21/20,4558040,137272
9/22/20,4591364,138105
9/23/20,4591364,138105
9/24/20,4657702,139808
9/25/20,4689613,140537
9/26/20,4717991,141406
9/27/20,4732309,141741
9/28/20,4745464,142058
9/29/20,4777522,142921
9/30/20,4810935,143952
10/1/20,4847092,144680
10/2/20,4847092,144680
10/3/20,4906833,145987
10/4/20,4915289,146352
10/5/20,4927235,146675

Datos reales España
-----------------------------
Fecha,Confirmados,Muertos
9/21/20,671468,30663
9/22/20,682267,30904
9/23/20,693556,31034
9/24/20,704209,31118
9/25/20,716481,31232
9/26/20,716481,31232
9/27/20,716481,31232
9/28/20,748266,31411
9/29/20,748266,31411
9/30/20,769188,31791
10/1/20,778607,31973
10/2/20,789932,32086
10/3/20,789932,32086
10/4/20,789932,32086
10/5/20,813412,32225
